Tx_ma,RX_ma,SRC_ma,DST_ma,0,RSSI,TX_rate,Time_sniff
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:19.817380
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:19.817593
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:19.817739
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,617,0,65.0,2019-06-11 13:49:19.817744
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-49,39.0,2019-06-11 13:49:19.818332
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-49,39.0,2019-06-11 13:49:19.818836
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,39.0,2019-06-11 13:49:19.818910
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,39.0,2019-06-11 13:49:19.819343
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,39.0,2019-06-11 13:49:19.819417
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,39.0,2019-06-11 13:49:19.819846
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,39.0,2019-06-11 13:49:19.819924
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,39.0,2019-06-11 13:49:19.820337
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-47,39.0,2019-06-11 13:49:19.820881
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,39.0,2019-06-11 13:49:19.820951
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,39.0,2019-06-11 13:49:19.821284
